evento_asignado,cuenta,mes,gasto_usd,impresiones,alcance_mensual,frecuencia_mensual,clics_todos,clics_enlace,ctr_todos_pct,cpm_usd,cpc_todos_usd,cpc_enlace_usd,conversaciones_iniciadas_7d,primeras_respuestas,leads_meta_atribuidos,compras_meta_atribuidas,interacciones_meta,reproducciones_video_meta,porcentaje_interaccion_que_es_video
carnaval-2024,ExpoFeria Mushuc Runa,2023-12,398.93,1306800,886439,1.474213,28681,7939,2.1948,0.3053,0.0139,0.0502,16.0,14.0,2.0,3.0,162953.0,149814.0,91.9
carnaval-2024,ExpoFeria Mushuc Runa,2024-01,2264.78,7395503,2084440,3.547957,239642,65531,3.2404,0.3062,0.0095,0.0346,66.0,53.0,0.0,7.0,1203227.0,1108682.0,92.1
carnaval-2024,ExpoFeria Mushuc Runa,2024-02,2619.48,6108376,1584206,3.855797,200092,42968,3.2757,0.4288,0.0131,0.061,227.0,201.0,0.0,24.0,1350630.0,1277963.0,94.6
carnaval-2024,ExpoFeria Mushuc Runa,2024-03,152.56,364483,246522,1.478501,8151,1,2.2363,0.4186,0.0187,152.56,0.0,0.0,0.0,0.0,268313.0,267301.0,99.6
carnaval-2025,ExpoFeria Mushuc Runa,2025-01,1405.43,2852333,1467917,1.943116,106485,8216,3.7333,0.4927,0.0132,0.1711,1604.0,1332.0,0.0,0.0,952756.0,923279.0,96.9
carnaval-2025,ExpoFeria Mushuc Runa,2025-02,7832.75,21527499,4243927,5.072542,458911,74993,2.1317,0.3638,0.0171,0.1044,758.0,727.0,4.0,14.0,4181529.0,4005766.0,95.8
carnaval-2025,ExpoFeria Mushuc Runa,2025-03,491.96,1853202,1006120,1.841929,53602,10190,2.8924,0.2655,0.0092,0.0483,98.0,88.0,1.0,11.0,491289.0,471410.0,96.0
finados-2025,ExpoFeria Mushuc Runa,2025-10,3361.26,6884550,2714293,2.536406,165793,48548,2.4082,0.4882,0.0203,0.0692,1070.0,1054.0,212.0,199.0,1471311.0,1388793.0,94.4
finados-2025,ExpoFeria Mushuc Runa,2025-11,170.16,558865,261909,2.133814,25147,1313,4.4997,0.3045,0.0068,0.1296,13.0,13.0,36.0,22.0,293588.0,288663.0,98.3
carnaval-2026,ExpoFeria Mushuc Runa,2025-12,595.73,2121822,1127938,1.881151,44391,7021,2.0921,0.2808,0.0134,0.0848,32.0,26.0,3.0,0.0,596250.0,578493.0,97.0
carnaval-2026,ExpoFeria Mushuc Runa,2026-01,2986.17,9261088,3257804,2.842739,268707,113423,2.9015,0.3224,0.0111,0.0263,1280.0,1233.0,0.0,0.0,1910818.0,1749222.0,91.5
carnaval-2026,ExpoFeria Mushuc Runa,2026-02,4212.21,11163315,2744537,4.067467,213171,51723,1.9096,0.3773,0.0198,0.0814,1795.0,1688.0,78.0,0.0,2025666.0,1924024.0,95.0
carnaval-2026,ExpoFeria Mushuc Runa,2026-03,41.04,86134,69850,1.233128,3913,0,4.5429,0.4765,0.0105,,0.0,0.0,0.0,0.0,41060.0,39432.0,96.0
