id,pagina,page_id,fecha_hora_guayaquil,fecha_guayaquil,evento,fase,formato,interacciones_publicas,reacciones,comentarios,compartidos,temas,tiene_url,tiene_telefono,tiene_precio,tiene_fecha,tiene_cta,longitud_texto,texto_normalizado,mensaje,permalink
729780340226059_122114991693017479,Finados Mushuc Runa ,729780340226059,2025-11-18T20:00:53-05:00,2025-11-18,finados-2025,postevento,added_video,259,239,2,18,artistas-musica|cultura-identidad,False,False,False,False,False,234,"qué show hebert vargas hizo vibrar a miles en el mega escenario así se vivió su show, y por supuesto, se llevó la hebert vargaschacana de oro y nuestro poncho rojo mushuc runa. finadosmushucruna finados2025 latradiciónnosune","¡𝐐𝐮𝐞́ 𝐬𝐡𝐨𝐰! 𝐇𝐞𝐛𝐞𝐫𝐭 𝐕𝐚𝐫𝐠𝐚𝐬 hizo vibrar a miles en el mega escenario 🎶🔥 Así se vivió su show, y por supuesto, se llevó la 𝐇𝐞𝐛𝐞𝐫𝐭 𝐕𝐚𝐫𝐠𝐚𝐬𝐂𝐡𝐚𝐜𝐚𝐧𝐚 𝐝𝐞 𝐎𝐫𝐨 𝐲 𝐧𝐮𝐞𝐬𝐭𝐫𝐨 𝐏𝐨𝐧𝐜𝐡𝐨 𝐑𝐨𝐣𝐨 𝐌𝐮𝐬𝐡𝐮𝐜 𝐑𝐮𝐧𝐚.  #FinadosMushucRuna #Finados2025 #LaTradiciónNosUne",https://www.facebook.com/reel/1774280983230692/
729780340226059_122113978293017479,Finados Mushuc Runa ,729780340226059,2025-11-11T07:49:36-05:00,2025-11-11,finados-2025,postevento,added_video,79,74,4,1,acceso-servicio,False,False,False,False,False,155,los nuevos parqueaderos funcionaron de manera espectacular en la 5ta feria de finados mushuc runa 2025. se viene la expoferia nacional mushuc runa.,🅿️🚦Los nuevos parqueaderos funcionaron de manera espectacular en la 5ta Feria de Finados Mushuc Runa 2025. 🎡🥳 Se viene la Expoferia Nacional Mushuc Runa. ⏳,https://www.facebook.com/reel/1619900875641124/
729780340226059_122113576725017479,Finados Mushuc Runa ,729780340226059,2025-11-08T13:26:22-05:00,2025-11-08,finados-2025,postevento,added_photos,418,108,302,8,sin-tema-detectado,True,False,False,False,False,327,se viene... la expo feria nacional mushuc runa 2026 completa el formulario y juntos armemos una edición que rompa esquemas. expoferianacionalmushucruna túhaceslaferia,🎶 🤩 Se viene... La Expo Feria Nacional Mushuc Runa 2026 🎡👏🏻 Completa el formulario y juntos armemos una edición que rompa esquemas. 🔝🔥  👉      https://docs.google.com/forms/d/e/1FAIpQLSe31a6RfBBBrAkyydS7i5ukX_fF9hVraP0Gzg7lkhc5gW1ssg/viewform?usp=sharing&ouid=106780714309562540610  #ExpoferiaNacionalMushucRuna #TúHacesLaFeria,https://www.facebook.com/122142325251017479/posts/122113576725017479
729780340226059_122113573677017479,Finados Mushuc Runa ,729780340226059,2025-11-08T12:41:39-05:00,2025-11-08,finados-2025,postevento,added_video,43,39,0,4,expositores-negocios|cultura-identidad|comunidad-prueba,False,False,False,False,False,291,"gracias a nuestros más de 500 expositores su compromiso y esfuerzo hicieron que finados mushuc runa 2025 se viva con alegría, tradición y oportunidades para todos. juntos, hacemos que cada edición sea más grande y más nuestra. finadosmushucruna finados2025 latradiciónnosune","🌟 Gracias a nuestros 𝐦𝐚́𝐬 𝐝𝐞 𝟓𝟎𝟎 𝐞𝐱𝐩𝐨𝐬𝐢𝐭𝐨𝐫𝐞𝐬  Su compromiso y esfuerzo hicieron que 𝐅𝐢𝐧𝐚𝐝𝐨𝐬 𝐌𝐮𝐬𝐡𝐮𝐜 𝐑𝐮𝐧𝐚 𝟐𝟎𝟐𝟓 se viva con alegría, tradición y oportunidades para todos. 🎡🇪🇨   𝐉𝐮𝐧𝐭𝐨𝐬, 𝐡𝐚𝐜𝐞𝐦𝐨𝐬 𝐪𝐮𝐞 𝐜𝐚𝐝𝐚 𝐞𝐝𝐢𝐜𝐢𝐨́𝐧 𝐬𝐞𝐚 𝐦𝐚́𝐬 𝐠𝐫𝐚𝐧𝐝𝐞 𝐲 𝐦𝐚́𝐬 𝐧𝐮𝐞𝐬𝐭𝐫𝐚.  #FinadosMushucRuna #Finados2025 #LaTradiciónNosUne",https://www.facebook.com/reel/1859920522070181/
729780340226059_122113567377017479,Finados Mushuc Runa ,729780340226059,2025-11-08T11:36:07-05:00,2025-11-08,finados-2025,postevento,added_photos,19,15,0,4,cultura-identidad|comunidad-prueba|patrocinio-alianzas,False,False,False,False,False,242,"ellos también fueron parte del éxito. gracias a nuestros auspiciantes por su apoyo en finados mushuc runa 2025. juntos, hacemos que cada edición sea más grande y más nuestra. finadosmushucruna latradicióncobravida finados2025","🤝 𝐄𝐥𝐥𝐨𝐬 𝐭𝐚𝐦𝐛𝐢𝐞́𝐧 𝐟𝐮𝐞𝐫𝐨𝐧 𝐩𝐚𝐫𝐭𝐞 𝐝𝐞𝐥 𝐞́𝐱𝐢𝐭𝐨. 🔝👏🏻 Gracias a nuestros 𝐚𝐮𝐬𝐩𝐢𝐜𝐢𝐚𝐧𝐭𝐞𝐬 por su apoyo en 𝐅𝐢𝐧𝐚𝐝𝐨𝐬 𝐌𝐮𝐬𝐡𝐮𝐜 𝐑𝐮𝐧𝐚 𝟐𝟎𝟐𝟓. 🎡🇪🇨  Juntos, hacemos que cada edición sea más grande y más nuestra.  #FinadosMushucRuna #LaTradiciónCobraVida #Finados2025",https://www.facebook.com/122142325251017479/posts/122113567377017479
729780340226059_122113550979017479,Finados Mushuc Runa ,729780340226059,2025-11-08T09:07:15-05:00,2025-11-08,finados-2025,postevento,mobile_status_update,23,23,0,0,cultura-identidad|comunidad-prueba,False,False,False,False,False,190,franco rojas luciendo con orgullo nuestro poncho rojo de mushuc runa y la chacana gracias por hacer vibrar a todos con tu talento. finadosmushucruna finados2025 latradiciónnosune,🇪🇨🔥 Franco Rojas luciendo con orgullo nuestro poncho rojo de Mushuc Runa y la Chacana❤️ Gracias por hacer vibrar a todos con tu talento. 🎶  #FinadosMushucRuna #Finados2025 #LaTradiciónNosUne,https://www.facebook.com/122142325251017479/posts/122113550979017479
729780340226059_122113291221017479,Finados Mushuc Runa ,729780340226059,2025-11-06T12:01:46-05:00,2025-11-06,finados-2025,postevento,mobile_status_update,73,67,3,3,cultura-identidad|comunidad-prueba,False,False,False,False,False,295,"qué honor ver a hebert vargas luciendo con orgullo nuestro poncho rojo de mushuc runa y la chacana, símbolo de unión y trabajo gracias por llevar un pedacito de nuestra cultura en tu corazón y por hacer vibrar a todos con tu talento. finadosmushucruna finados2025 latradiciónnosune","🇪🇨🔥 Qué honor ver a Hebert Vargas luciendo con orgullo nuestro poncho rojo de Mushuc Runa y la Chacana, símbolo de unión y trabajo ❤️  Gracias por llevar un pedacito de nuestra cultura en tu corazón y por hacer vibrar a todos con tu talento. 🎶  #FinadosMushucRuna #Finados2025 #LaTradiciónNosUne",https://www.facebook.com/122142325251017479/posts/122113291221017479
729780340226059_122113289577017479,Finados Mushuc Runa ,729780340226059,2025-11-06T11:54:13-05:00,2025-11-06,finados-2025,postevento,mobile_status_update,22,21,0,1,artistas-musica|experiencias-atractivos|cultura-identidad,False,False,False,False,False,299,seguimos viviendo la magia de finados mushuc runa 2025 jayac ecuador puso el corazón en uno de nuestros escenarios laluna y nos regaló un show inolvidable. revive los mejores momentos con quienes hicieron vibrar al público finadosmushucruna momentosinolvidables latradicióncobravida,🎶 Seguimos viviendo la magia de Finados Mushuc Runa 2025 🔝🇪🇨👏🏻 JAYAC Ecuador puso el corazón en uno de nuestros escenarios #LaLuna y nos regaló un show inolvidable.   Revive los mejores momentos con quienes hicieron vibrar al público 🔥  #FinadosMushucRuna #MomentosInolvidables #LaTradiciónCobraVida,https://www.facebook.com/122142325251017479/posts/122113289577017479
729780340226059_122113075425017479,Finados Mushuc Runa ,729780340226059,2025-11-05T02:27:31-05:00,2025-11-05,finados-2025,postevento,added_video,540,489,13,38,expositores-negocios|cultura-identidad|comunidad-prueba|patrocinio-alianzas,False,False,False,False,True,434,"cerramos una edición inolvidable de la feria finados mushuc runa 2025 llena de vida, tradición y alegría. gracias a nuestros expositores por su esfuerzo y pasión, a nuestros visitantes por llenar cada espacio de energía, y a nuestras marcas auspiciantes por creer en este sueño. juntos hicimos de esta feria un éxito total. ecuador éxitototal finadosmushucruna finados2025 graciasecuador luisalfonsochango fansdestacados","🩷 Cerramos una edición inolvidable de la 𝐅𝐞𝐫𝐢𝐚 𝐅𝐢𝐧𝐚𝐝𝐨𝐬 𝐌𝐮𝐬𝐡𝐮𝐜 𝐑𝐮𝐧𝐚 𝟐𝟎𝟐𝟓 llena de vida, tradición y alegría.   Gracias a NUESTROS EXPOSITORES por su esfuerzo y pasión, a NUESTROS VISITANTES por llenar cada espacio de energía, y a NUESTRAS MARCAS AUSPICIANTES por creer en este sueño.🌟  Juntos hicimos de esta feria un 𝐄́𝐗𝐈𝐓𝐎 𝐓𝐎𝐓𝐀𝐋. #Ecuador #ÉxitoTotal #FinadosMushucRuna #Finados2025 #GraciasEcuador #LuisAlfonsoChango @fansdestacados",https://www.facebook.com/reel/1552323979116127/
729780340226059_122113069047017479,Finados Mushuc Runa ,729780340226059,2025-11-05T01:12:46-05:00,2025-11-05,finados-2025,postevento,added_video,61,55,2,4,expositores-negocios|cultura-identidad|comunidad-prueba,False,False,False,False,False,253,"en finados mushuc runa se vivió, se sintió y se premió reconocimos a los stands que la rompieron este año y así se vivió ese momento dedicación, sabor, tradición y mucho corazón. gracias por ser parte de la tradición. nos vemos en la próxima","En Finados Mushuc Runa se vivió, se sintió y se premió 🎡🔥 Reconocimos a los stands que la rompieron este año y así se vivió ese momento 👏  Dedicación, sabor, tradición y mucho corazón. Gracias por ser parte de la tradición. Nos vemos en la próxima 😏🇪🇨👏🏻",https://www.facebook.com/reel/1385791856406091/
