evento,rango,id,fecha_guayaquil,fase,formato,interacciones_publicas,reacciones,comentarios,compartidos,temas,mensaje_resumen,permalink
finados-2021,1,105221087662733_425582048959967,2021-11-04,postevento,mobile_status_update,156,144,5,7,expositores-negocios|cultura-identidad|confianza-operacion|comunidad-prueba,"¡𝐆𝐫𝐚𝐜𝐢𝐚𝐬 𝐩𝐨𝐫 𝐡𝐚𝐜𝐞𝐫𝐥𝐨 𝐩𝐨𝐬𝐢𝐛𝐥𝐞! ✊🏻👏🏻 A todas las personas que nos visitaron durante estos cinco días de Finados 2021, muchas gracias, a nuestros expositores, gracias mil, por la confianza puesta en el equipo organizativo 🤝.  ¡𝐄́𝐱𝐢𝐭𝐨 𝐓𝐨𝐭𝐚𝐥! Sigamos trabajando juntos por el progreso y desarrollo de la p",https://www.facebook.com/1675458624581662/posts/425582048959967
finados-2021,2,105221087662733_422511315933707,2021-10-30,en-vivo,mobile_status_update,96,79,1,16,cultura-identidad,🎥🔴 [EN DIRECTO] Acto inaugural de Finados 2021 - La tradición nos une 🎉👏🏻  ¡Te esperamos! Visítanos.,https://www.facebook.com/1675458624581662/posts/422511315933707
finados-2021,3,105221087662733_416871529831019,2021-10-21,conversion,mobile_status_update,69,53,1,15,cultura-identidad|acceso-servicio|comunidad-prueba,"🎉 ¡𝐓𝐎𝐃𝐎 𝐋𝐈𝐒𝐓𝐎! 𝐅𝐢𝐧𝐚𝐝𝐨𝐬 𝟐𝟎𝟐𝟏, 𝐯𝐚 𝐩𝐨𝐫𝐪𝐮𝐞 𝐯𝐚 😏 Tomando todas las precauciones, extendemos la invitación cordial a todas las familias de la provincia y del Ecuador a visitarnos y disfrutar con responsabilidad, de #Finados2021, porque la tradición nos une☀️🤝.  #Tungurahua #Ambato #ComplejoDeportivoMushuc",https://www.facebook.com/1675458624581662/posts/416871529831019
finados-2021,4,105221087662733_423245212526984,2021-10-31,en-vivo,mobile_status_update,47,41,3,3,artistas-musica|experiencias-atractivos|expositores-negocios|cultura-identidad|precio-entradas|acceso-servicio|confianza-operacion|comunidad-prueba,"¡TE ESPERAMOS! Ven y se parte de la tradición 🎉👏🏻💃🏻🕺🏻. Estos días de feriado ven el Complejo Intercultural y Deportivo Mushuc Runa, brindaremos el mejor #show de #caballos de alta escuela 🐎, que podrás disfrutarlo con amigos y familia.   📍 𝐋𝐮𝐠𝐚𝐫: Santa Lucía de Tisaleo, km 12 vía Riobamba 📆 𝐅𝐞𝐜𝐡𝐚: 3",https://www.facebook.com/1675458624581662/posts/423245212526984
finados-2021,5,105221087662733_411313767053462,2021-10-13,conversion,mobile_status_update,36,31,1,4,expositores-negocios|cultura-identidad,🔴 #Atención | ¡𝐔́𝐥𝐭𝐢𝐦𝐨𝐬 𝐒𝐭𝐚𝐧𝐝𝐬 𝐃𝐢𝐬𝐩𝐨𝐧𝐢𝐛𝐥𝐞𝐬! No te quedes fuera de la #FeriaFinados2021 ‘La tradición nos une’ 🎉.  📲 Puedes comunicarte para separar tu stand al: 099 772 1589  #FeriaFinados2021 #LaTradiciónNosUne #Tungurahua #Ambato #FinadosSinFeriaNoEsFinados #Sponsor,https://www.facebook.com/1675458624581662/posts/411313767053462
finados-2021,6,105221087662733_412753516909487,2021-10-15,conversion,mobile_status_update,28,25,0,3,expositores-negocios|cultura-identidad,"🎉 #YaSoyParteDeLaTradición | Bienvenida querida comerciante a la Feria Finados 2021. ‘La tradición nos une’ 🙌🏻.   ¡𝐒𝐭𝐚𝐧𝐝 𝐥𝐢𝐬𝐭𝐨 𝐩𝐚𝐫𝐚 𝐥𝐚 𝐅𝐞𝐫𝐢𝐚 𝐅𝐢𝐧𝐚𝐝𝐨𝐬 𝟐𝟎𝟐𝟏!   📍Visítanos del 30 de Octubre al 3 de Noviembre, en el Complejo Intercultural y Deportivo Mushuc Runa. 🚗 Santa Lucía de Tisaleo Km. 12 vía a Rio",https://www.facebook.com/1675458624581662/posts/412753516909487
finados-2021,7,105221087662733_410383707146468,2021-10-11,conversion,mobile_status_update,25,20,0,5,acceso-servicio,¡𝐓𝐨𝐝𝐨𝐬 𝐚 𝐝𝐢𝐬𝐟𝐫𝐮𝐭𝐚𝐫 𝐝𝐞 𝐥𝐚 𝐅𝐞𝐫𝐢𝐚 𝐅𝐢𝐧𝐚𝐝𝐨𝐬 𝟐𝟎𝟐𝟏! 🥳,https://www.facebook.com/1675458624581662/posts/410383707146468
finados-2021,8,105221087662733_412754033576102,2021-10-15,conversion,mobile_status_update,11,10,0,1,expositores-negocios|cultura-identidad,"¡𝐒𝐭𝐚𝐧𝐝 𝐥𝐢𝐬𝐭𝐨 𝐩𝐚𝐫𝐚 𝐥𝐚 𝐅𝐞𝐫𝐢𝐚 𝐅𝐢𝐧𝐚𝐝𝐨𝐬 𝟐𝟎𝟐𝟏!  🎉 #YaSoyParteDeLaTradición | Bienvenido Esteban Hidalgo, emprendedor ambateño en la venta de plantas carnívoras y artículos de navidad.   ¡Porque finados sin feria, no es finados!   #FeriaFinados2021 #LaTradiciónNosUne #Finados #Feria #Ambato #Tungurahua",https://www.facebook.com/1675458624581662/posts/412754033576102
finados-2021,9,105221087662733_422446329273539,2021-10-30,en-vivo,mobile_status_update,8,7,1,0,artistas-musica|expositores-negocios|cultura-identidad|precio-entradas|acceso-servicio|confianza-operacion,"▶️🕺🏻💃🏻 ¡Es hoy, es hoy! En este feriado, te invitamos a disfrutar de todo lo que hemos preparado para ti, en 𝐅𝐢𝐧𝐚𝐝𝐨𝐬 𝟐𝟎𝟐𝟏 - 𝐋𝐚 𝐭𝐫𝐚𝐝𝐢𝐜𝐢𝐨́𝐧 𝐧𝐨𝐬 𝐮𝐧𝐞, ven a visitarnos en el Complejo Intercultural y Deportivo Mushuc Runa.  📍 𝐋𝐮𝐠𝐚𝐫: Santa Lucía de Tisaleo, km 12 vía Riobamba 📆 𝐅𝐞𝐜𝐡𝐚: 30 de octubre al 3 d",https://www.facebook.com/1675458624581662/posts/422446329273539
finados-2021,10,105221087662733_412753206909518,2021-10-15,conversion,mobile_status_update,5,5,0,0,expositores-negocios|cultura-identidad,"🎉 #YaSoyParteDeLaTradición | Bienvenida querida comerciante a la Feria Finados 2021. ‘La tradición nos une’ 🙌🏻.   ¡𝐒𝐭𝐚𝐧𝐝 𝐥𝐢𝐬𝐭𝐨 𝐩𝐚𝐫𝐚 𝐥𝐚 𝐅𝐞𝐫𝐢𝐚 𝐅𝐢𝐧𝐚𝐝𝐨𝐬 𝟐𝟎𝟐𝟏!   📍Visítanos del 30 de Octubre al 3 de Noviembre, en el Complejo Intercultural y Deportivo Mushuc Runa. 🚗 Santa Lucía de Tisaleo Km. 12 vía a Rio",https://www.facebook.com/1675458624581662/posts/412753206909518
