evento,fase,publicaciones,dias_con_publicacion,publicaciones_por_dia_activo,interacciones_total,interacciones_mediana,comentarios_mediana,compartidos_mediana
finados-2021,conversion,10,4,2.5,179,8.0,0.0,1.0
finados-2021,en-vivo,3,2,1.5,151,47,1,3
finados-2021,postevento,1,1,1.0,156,156,5,7
carnaval-2022,consideracion,8,7,1.14,1821,93.5,5.0,14.0
carnaval-2022,conversion,36,15,2.4,7166,83.5,2.0,21.0
carnaval-2022,urgencia,52,7,7.43,10558,63.0,1.0,17.0
carnaval-2022,en-vivo,57,5,11.4,59121,175,3,11
carnaval-2022,postevento,3,2,1.5,10277,317,12,23
finados-2022,consideracion,2,2,1.0,242,121.0,5.0,39.0
finados-2022,conversion,2,1,2.0,2094,1047.0,33.0,244.0
finados-2022,postevento,2,1,2.0,40,20.0,0.5,1.0
carnaval-2023,consideracion,53,16,3.31,37681,53,1,11
carnaval-2023,conversion,69,19,3.63,18788,98,2,21
carnaval-2023,urgencia,36,7,5.14,6421,91.5,1.0,14.5
carnaval-2023,en-vivo,73,5,14.6,30201,161,2,15
carnaval-2023,postevento,10,6,1.67,3047,128.5,4.0,15.0
carnaval-2024,consideracion,29,17,1.71,50237,358,10,93
carnaval-2024,conversion,17,10,1.7,7690,157,10,29
carnaval-2024,urgencia,24,7,3.43,14915,197.0,6.0,40.0
carnaval-2024,en-vivo,45,5,9.0,11798,162,4,19
carnaval-2024,postevento,8,7,1.14,4818,270.0,9.0,58.5
carnaval-2025,descubrimiento-temprano,1,1,1.0,13,13,0,0
carnaval-2025,consideracion,24,17,1.41,19892,535.5,14.5,81.0
carnaval-2025,conversion,32,17,1.88,28771,195.5,6.5,28.5
carnaval-2025,urgencia,13,6,2.17,2931,88,5,10
carnaval-2025,en-vivo,51,5,10.2,18763,118,4,12
carnaval-2025,postevento,7,5,1.4,853,66,2,2
finados-2025,consideracion,38,18,2.11,9741,86.0,3.0,18.0
finados-2025,conversion,144,21,6.86,44114,40.0,1.0,5.5
finados-2025,urgencia,56,7,8.0,3152,29.5,0.0,5.0
finados-2025,en-vivo,179,5,35.8,51959,33,0,3
finados-2025,postevento,13,5,2.6,1920,73,2,4
carnaval-2026,descubrimiento-temprano,2,1,2.0,37,18.5,0.0,2.0
carnaval-2026,consideracion,44,26,1.69,54121,179.5,3.5,16.5
carnaval-2026,conversion,82,22,3.73,31326,66.5,2.0,12.5
carnaval-2026,urgencia,24,7,3.43,5651,72.0,1.0,9.5
carnaval-2026,en-vivo,100,5,20.0,15133,46.0,1.0,3.0
carnaval-2026,postevento,13,11,1.18,3388,62,0,3
