evento,formato,publicaciones,interacciones_total,interacciones_mediana,comentarios_mediana,compartidos_mediana
finados-2021,mobile_status_update,14,486,18.0,0.0,2.0
carnaval-2022,added_photos,93,15631,88,2,12
carnaval-2022,added_video,56,73193,211.0,4.0,27.5
carnaval-2022,mobile_status_update,7,119,17,0,1
finados-2022,added_video,2,2019,1009.5,33.5,241.0
finados-2022,mobile_status_update,4,357,20.0,1.0,2.0
carnaval-2023,added_photos,158,44236,91.0,1.0,14.0
carnaval-2023,added_video,72,51160,179.0,3.0,29.0
carnaval-2023,mobile_status_update,8,529,56.5,0.0,3.5
carnaval-2023,shared_story,3,213,46,1,11
carnaval-2024,added_photos,70,16842,115.5,3.0,18.5
carnaval-2024,added_video,43,71105,450,16,73
carnaval-2024,created_event,1,48,48,0,0
carnaval-2024,mobile_status_update,9,1463,171,1,20
carnaval-2025,added_photos,73,38293,80,2,9
carnaval-2025,added_video,52,32510,324.5,8.0,36.5
carnaval-2025,created_event,1,10,10,0,0
carnaval-2025,mobile_status_update,2,410,205.0,5.0,12.5
finados-2025,added_photos,194,27200,34.5,1.0,4.5
finados-2025,added_video,186,82537,58.5,1.0,7.0
finados-2025,created_event,1,56,56,5,0
finados-2025,mobile_status_update,49,1093,14,0,2
carnaval-2026,added_photos,139,24333,49,1,6
carnaval-2026,added_video,125,85291,88,2,8
carnaval-2026,mobile_status_update,1,32,32,2,4
