evento,tema,publicaciones,interacciones_total,interacciones_mediana,comentarios_mediana,compartidos_mediana
finados-2021,acceso-servicio,5,149,25,1,3
finados-2021,artistas-musica,2,55,27.5,2.0,1.5
finados-2021,comunidad-prueba,4,272,58.0,2.0,5.0
finados-2021,confianza-operacion,4,211,27.5,2.0,1.5
finados-2021,cultura-identidad,13,461,11,0,1
finados-2021,experiencias-atractivos,1,47,47,3,3
finados-2021,expositores-negocios,9,296,11,0,1
finados-2021,precio-entradas,2,55,27.5,2.0,1.5
carnaval-2022,acceso-servicio,40,40269,157.0,3.5,20.5
carnaval-2022,artistas-musica,60,58331,222.0,4.0,25.0
carnaval-2022,cobertura-en-vivo,4,421,93.0,1.0,17.5
carnaval-2022,comunidad-prueba,28,15307,117.5,2.5,17.0
carnaval-2022,confianza-operacion,32,3371,35.5,0.0,8.0
carnaval-2022,cultura-identidad,102,55724,89.5,2.0,18.0
carnaval-2022,experiencias-atractivos,7,1826,79,4,19
carnaval-2022,expositores-negocios,29,2299,31,1,5
carnaval-2022,patrocinio-alianzas,19,642,14,0,2
carnaval-2022,precio-entradas,28,5084,105.5,1.5,18.0
finados-2022,acceso-servicio,4,2134,169.0,4.5,42.0
finados-2022,artistas-musica,1,235,235,9,76
finados-2022,comunidad-prueba,5,2369,235,8,76
finados-2022,confianza-operacion,2,317,158.5,4.5,42.0
finados-2022,cultura-identidad,6,2376,131.5,4.5,39.0
finados-2022,expositores-negocios,1,235,235,9,76
carnaval-2023,acceso-servicio,59,37604,157,3,19
carnaval-2023,artistas-musica,48,29196,325.0,10.5,50.5
carnaval-2023,cobertura-en-vivo,9,2427,293,7,23
carnaval-2023,comunidad-prueba,49,9391,92,1,13
carnaval-2023,confianza-operacion,57,7459,39,0,9
carnaval-2023,cultura-identidad,19,19175,198,4,32
carnaval-2023,experiencias-atractivos,37,3700,46,0,10
carnaval-2023,expositores-negocios,47,18715,39,0,7
carnaval-2023,patrocinio-alianzas,35,2389,36,0,8
carnaval-2023,precio-entradas,33,12670,226,9,52
carnaval-2024,acceso-servicio,39,34350,249,7,41
carnaval-2024,artistas-musica,45,48620,397,10,60
carnaval-2024,cobertura-en-vivo,10,3321,131.0,1.5,27.5
carnaval-2024,comunidad-prueba,27,5917,162,4,33
carnaval-2024,confianza-operacion,19,12254,233,7,43
carnaval-2024,cultura-identidad,10,7533,149.5,5.5,35.0
carnaval-2024,experiencias-atractivos,1,35,35,1,1
carnaval-2024,expositores-negocios,9,1012,72,3,13
carnaval-2024,patrocinio-alianzas,8,1409,158.0,2.5,34.0
carnaval-2024,precio-entradas,30,23416,316.5,8.5,68.0
carnaval-2025,acceso-servicio,21,11001,98,5,17
carnaval-2025,artistas-musica,90,67140,196.5,7.0,27.0
carnaval-2025,cobertura-en-vivo,7,1510,85,5,25
carnaval-2025,comunidad-prueba,37,26706,111,2,12
carnaval-2025,confianza-operacion,5,3998,1022,21,62
carnaval-2025,cultura-identidad,33,33157,199,6,26
carnaval-2025,experiencias-atractivos,13,3294,118,6,25
carnaval-2025,expositores-negocios,3,2630,189,16,48
carnaval-2025,patrocinio-alianzas,14,837,37.5,0.0,8.5
carnaval-2025,precio-entradas,32,24825,306.5,12.0,49.0
finados-2025,acceso-servicio,178,19452,30.0,0.0,4.0
finados-2025,artistas-musica,200,67491,43.0,1.0,5.0
finados-2025,cobertura-en-vivo,36,6301,52.5,1.0,6.5
finados-2025,comunidad-prueba,59,8925,51,1,5
finados-2025,confianza-operacion,51,10234,50,1,6
finados-2025,cultura-identidad,321,46650,34,0,5
finados-2025,experiencias-atractivos,38,5427,25.0,0.0,2.0
finados-2025,expositores-negocios,52,12390,56.5,1.0,4.0
finados-2025,patrocinio-alianzas,25,1591,36,0,5
finados-2025,precio-entradas,91,17644,34,1,6
carnaval-2026,acceso-servicio,38,19437,83.0,2.5,7.0
carnaval-2026,artistas-musica,122,80166,130.0,4.0,11.0
carnaval-2026,cobertura-en-vivo,29,8449,38,2,5
carnaval-2026,comunidad-prueba,51,8927,67,1,4
carnaval-2026,confianza-operacion,35,12318,62,2,13
carnaval-2026,cultura-identidad,34,15146,104.5,1.0,11.5
carnaval-2026,experiencias-atractivos,16,2337,62.0,2.0,6.0
carnaval-2026,expositores-negocios,29,5996,46,2,7
carnaval-2026,patrocinio-alianzas,10,1857,99.5,1.5,11.5
carnaval-2026,precio-entradas,56,45554,150.0,3.0,14.0
